player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
John FitzPatrick,TE,ATL,0,0,0,0,0,0,0,0.01932644146490653,0.01881792021525024,0.01677721446361763,0.0177031511008537,0,0.00649552946227403
Cyril Grayson,WR,TB,0,5,0,0,0.00709267272525674,0.02196676058178262,0.00501887619430091,0.0399043077402173,0.04711132572479096,0.08476718357754165,0.07809674341573977,0,0.00270647060928084
Tyler Johnson,WR,HOU,0,17,0,0,0,0,0,0.06470452753553227,0.06121114482164656,0.05287553309842644,0.03067323236014252,0,0.00270647060928084
Jeremy Sprinkle,TE,DAL,0,17,0,0,0,0,0,0.00432443104797711,0.00636273759508402,0.00595542921629544,0.00285234621756518,0,0.00270647060928084
Brandon Smith,WR,DAL,0,0,0,0,0,0,0,0.075803179066559645,0.07653871122903637,0.074949377070234,0.08225323163778754,0,0.00649552946227403
Austin Walter,RB,LV,0,4,0,0,0.17460364526105954,0.1608101330508829,0.18362573993665376,0.01446090598461041,0.01546405824180888,0.0068323682435444,0.00574965448064009,0,0.00270647060928084
Antony Auclair,TE,HOU,0,16,0,0,0,0,0,0.00836749878958603,0.01255419254375224,0.01160449465744063,0.02634199880156424,0,0.00270647060928084
Bo Melton,WR,SEA,0,0,0,0,0,0,0,0.02136940013695817,0.02077750860063009,0.0179278476329405,0.02003585674937512,0,0.00649552946227403
Dylan Parham,TE,DEN,0,0,0,0,0,0,0,0.0837327901140523,0.08061932757316759,0.0748079512236291,0.08289102597421011,0,0.00649552946227403
Tim Patrick,WR,DEN,0,16,0,0,0,0,0,0.1499888421766256,0.13761111325336026,0.17423216481446918,0.19577911660880848,0,0.00270647060928084
Ryquell Armstead,RB,JAC,0,2,0,0,0.2448903934119041,0.2600630055247246,0.12689944527467611,0.04539341559851778,0.05393448933376312,0.02801385528581468,0.02297238484088334,0,0.00270647060928084
Tommy Hudson,TE,TEN,0,5,0,0,0,0,0,0.03267368009823077,0.02365027086330805,0.0269375236529026,0.01492866564643607,0,0.00270647060928084
Ricky Seals Jones,TE,NYG,0,13,0,0,0,0,0,0.0903795961565535,0.0834311878119905,0.0718763476911715,0.09590477253594722,0,0.00270647060928084
Greg Ward,WR,PHI,0,17,0,0,0,0,0,0.01740310826312972,0.01746111041852856,0.01922152071453791,0.06958532678054064,0,0.00270647060928084
Jason Huntley,RB,PHI,0,1,0,0,0.26670959857964693,0.21859625037432664,0.15130702156698794,0.02689571277029139,0,0,0.0068987571874743,0,0.00270647060928084
Jermar Jefferson,RB,DET,0,7,0,0,0.04830016608203509,0.05407529148122782,0.14716692792374503,0.01438308418502511,0.01673977913523042,0.00935983321959967,0.00584859086384935,0,0.00270647060928084
Derrick Gore,RB,KC,0,11,0,0,0.13925359957292377,0.15050261125182876,0.147769619529682,0.02396186985744466,0.03209871104575543,0.03722929096644425,0.01524900130315479,0,0.00270647060928084
Antoine Wesley,WR,ARI,0,15,0,0,0,0,0,0.04102677178648783,0.03323692593111142,0.03270268167596449,0.05446242521683055,0,0.00270647060928084
Adam Shaheen,TE,MIA,0,12,0,0,0,0,0,0.02913627581797242,0.03052675858836649,0.03101705851633889,0.01601250087347069,0,0.00270647060928084
James O Shaughnessy,TE,CHI,0,7,0,0,0,0,0,0.1151274882762568,0.12595342485280148,0.12459737142525856,0.07289143735220437,0,0.00270647060928084
Tajae Sharpe,WR,CHI,0,15,0,0,0,0,0,0.06162982498711465,0.05862885068579232,0.05072030738475165,0.03525893809453137,0,0.00270647060928084
Colin Thompson,TE,CAR,0,11,0,0,0,0,0,0.00258100022912897,0,0,7.048478136086615e-4,0,0.00649552946227403
Calvin Austin,WR,PIT,0,0,0,0,0,0,0,0.06002366126923558,0.0576505016923745,0.05392930494814105,0.05611489841876434,0,0.00649552946227403
Jeremy McNichols,RB,PIT,0,14,0,0,0.08393922823551389,0.07143495107456187,0.04678787239214784,0.07708345161938668,0.08129718907148877,0.06846566997119707,0.06006840916615134,0,0.00270647060928084
JaQuan Hardy,RB,DEN,0,3,0,0,0.04276017210251148,0.06734691252514897,0.17829775516483004,0,0,0,0,0,0.00270647060928084
La Mical Perine,RB,NYJ,0,4,0,0,0.04951099557669337,0.0428842668495094,0.0246512420655127,0,0,0,0,0,0.00270647060928084
Damien Williams,RB,ATL,1,12,2,0,0.07250442527138368,0.0485385889136397,0.06109536081549433,0.01785599826609533,0.01881741616943849,0.01318447385928325,0.01956938284136317,0,0.00270647060928084
Ty Montgomery,WR,NE,1,0,5,0,0.06794024389031203,0,0.03874431507874142,0.10933122895073508,0.11424778221531792,0.07579476739737252,0.23324953618187483,0.21,0.007
Cethan Carter,TE,MIA,1,16,0,0,0,0,0,0.0011166350077478,0.00143163463448878,0.00133653695040057,0.00118443141801319,0,0.00270647060928084
Josh Gordon,WR,TEN,1,0,0,0,0,0,0,0.03733045618346273,0.01120880961503583,0.00876978777954484,0.01717070601784155,0.21,0.007
Drew Sample,TE,CIN,2,17,2,0,0,0,0,0.02455107420602164,0.02957286890831871,0.01093310316871421,0.0190513493769153,0,0.00270647060928084
Dezmon Patmon,WR,IND,1,0,2,0,0,0,0,0.17558658933337598,0.133226712714767,0.12872019182467412,0.1291600221256425,0.21,0.007
Dennis Houston,WR,DAL,2,0,2,0,0,0,0,0.06640146484071877,0.05013378392139699,0.04384307919760261,0.04983746060819238,0.21,0.007
Trey Lance,QB,SF,1,0,3,0,0.32976172179824975,0.34550461809603455,0.31564996042419713,0,0,0,0,0.11205624078332709,0
Jesse James,TE,CLE,2,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Trenton Cannon,RB,TEN,2,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Noah Togiai,TE,PHI,2,0,0,0,0,0,0,0.01569987545088526,0.00802786125021897,0.00650891822644922,0.00974233904790037,0.21,0.007
Sterling Shepard,WR,NYG,3,7,13,0,9.36791978708972e-4,3.3682912728992987e-4,6.838429156567907e-4,0.21568378458375684,0.1945496401052948,0.20161340835376168,0.20285618049887072,0,0.00270647060928084
Michael Thomas,WR,NO,3,0,16,0,0,0,0,0.1774348099839357,0.18817102998951876,0.17761844125373044,0.18489170150342568,0.21,0.007
Jameis Winston,QB,NO,3,7,5,3,0.08382888472943918,0.06804182740470671,0.0738617930862212,0,0,0,0,0.15280932720308016,0
Jalen Guyton,WR,LAC,2,16,2,0,0.00283645436652406,0.00308847374909945,0.00309359088666767,0.05274760020649781,0.04829073107610569,0.07833255301158772,0.05418935527766777,0,0.00653679666182912
Antonio Williams,RB,NYG,2,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Brian Hoyer,QB,NE,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Jamison Crowder,WR,BUF,4,12,6,1,0,0,0,0.10063275824641582,0.08828433340952714,0.08270346671192104,0.08777789711432647,0,0.00846383053330743
Kendall Blanton,TE,LAR,2,0,2,0,0,0,0,0.03525260249971556,0.04091714664205796,0.05128723272053867,0.04167082257462219,0,0.02020647060928085
Quintez Cephus,WR,DET,4,5,2,0,0,0,0,0.03245283176771115,0.03214762358852364,0.02434904653683151,0.02613667752750009,0,0.00270647060928084
Trey Sermon,RB,PHI,1,9,2,0,0.06102180763940262,0.08740552399542365,0.0632816042332042,0.00379406953471601,0.00409834326872277,0.00306226517778227,0.0033796436790528,0,0.00270647060928084
Javonte Williams,RB,DEN,4,17,63,1,0.4310934213024744,0.42775066085917895,0.4075725340040291,0.16073191384311605,0.1623197755303435,0.12119010325316627,0.1454988390620897,0,0.0045233347068467
Ben Ellefson,TE,MIN,4,5,3,0,0,0,0,0.02039317074483103,0.02409154638905252,0.02369154605871711,0.0221136209527332,0,0.00649552946227403
Case Keenum,QB,BUF,1,0,2,0,0.16892473701313163,0.05168194884208903,0.11345447359914382,0,0,0,0,0.21,0.007
Mason Schreck,TE,HOU,1,0,1,0,0,0,0,0.05605607497325376,0.0693427403539598,0.04556887063253082,0.05027150327367512,0.21,0.007
Tanner Gentry,WR,BUF,1,0,0,0,0,0,0,0.02187482772449629,0.00660790797643171,0.00525696395907439,0.00968309614116903,0.21,0.007
Malik Turner,WR,SF,1,0,0,0,0,0,0,0.00808892583145623,0.00803923124479907,0.00838138084591338,0.00800805863438485,0,0.00270647060928084
Rashaad Penny,RB,SEA,5,10,61,1,0.4784674313875343,0.4951896414641412,0.4705288975135624,0.03213600753328858,0.03319101762538495,0.02866384111178974,0.03083407241877928,0,0.00270647060928084
Deonte Harty,WR,NO,4,0,2,1,0,0,0,0.01446906349634556,0.01640197494823057,0.0152884227959035,0.01543618682957854,0.21,0.007
Kyle Philips,WR,TEN,4,0,8,2,0,0,0,0.1166206694246492,0.11171042797037645,0.09994524846233624,0.10534007179993364,0,0.00649552946227403
Kaylon Geiger,WR,TB,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Simi Fehoko,WR,DAL,5,0,3,0,0,0,0,0.01964245682150834,0.02099565360112177,0.02113480420730944,0.02129775576051676,0.21,0.007
Rico Dowdle,RB,DAL,5,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Chester Rogers,WR,CLE,1,0,0,1,0.00169154057535659,0.00276685433961908,0.0021720485624369,0.06732622813020825,0.06761991634495616,0.06671172634719405,0.06705607169956374,0,0.02020647060928085
Juwann Winfree,WR,GB,1,0,0,0,0,0,0,0.0870299418306506,0.05568050046422031,0.05773577753937073,0.06481246094775914,0.21,0.007
Jacob Eason,QB,CAR,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Rashard Higgins,WR,CAR,1,15,0,0,0,0,0,0.05107784053055422,0.04214397454597606,0.03970359463507919,0.04490472874877811,0,0.00270647060928084
Lil Jordan Humphrey,WR,NE,6,10,2,0,0,0,0,0.02563591303144652,0.02509944387738378,0.02552005320918463,0.02474743897460043,0,0.00270647060928084
D Vonte Price,RB,IND,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Bailey Zappe,QB,NE,1,0,2,1,0.13425464533873652,0.03252255066802587,0.08740743873815898,0.00870446367129685,0.01003320278046503,0.00274993928694277,0.00631151895896945,0.21,0.007
Breece Hall,RB,NYJ,7,0,99,1,0.4201476449572347,0.4855237570063941,0.4691647841620744,0.1071935104211312,0.11420155761839954,0.11873468458369751,0.11793540610776432,0,0.00649552946227403
Ethan Fernea,WR,IND,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
J D McKissic,RB,WAS,8,11,49,0,0.0796447224506864,0.08152788809341609,0.07630573789890045,0.15866973865234216,0.14815456493226237,0.13336251050947429,0.142342943010357,0,0.00270647060928084
Darrel Williams,RB,ARI,6,17,25,0,0.14671511083933056,0.14197558049996853,0.1428722219134601,0.03142686855780532,0.02901444935042345,0.02255937821950411,0.02618906801850545,0,0.00270647060928084
David Sills,WR,NYG,1,0,1,0,0,0,0,0.3807560954139952,0.3830698312951964,0.3736654971602083,0.3886366675769251,0.21,0.007
Maurice Alexander,WR,DET,2,0,1,0,0,0,0,0.01143741582993302,0.01430089093139004,0.01019046364867358,0.00928870838009222,0.21,0.007
Bryan Edwards,WR,ATL,4,16,3,0,4.705080567843662e-4,2.835671349439737e-4,4.1326110820020514e-4,0.04665797040962301,0.04865023683943007,0.04131697115936412,0.04315678148438159,0,0.00685599049954147
KJ Hamler,WR,DEN,7,0,9,0,0.01093790074405135,0.02731266155626327,0.01535077016570392,0.06185392001721681,0.05798731389567932,0.07224846895438788,0.06082803566432995,0.21,0.007
Rashod Bateman,WR,BAL,6,12,15,1,0,0,0,0.1709898609569992,0.17175509270701653,0.1763447957197775,0.17053229295759323,0,0.00270647060928084
Alex Armah,RB,WAS,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Kyric McGowan,WR,WAS,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Brandon Allen,QB,CIN,1,0,3,0,0.05722138733090028,0.00926631833774731,0.03195324759110813,0,0,0,0,0.21,0.007
Brandon Zylstra,WR,DET,1,0,0,0,0,0,0,0.05503588563994453,0.05788459641268553,0.07056451246751981,0.05954703384749123,0,0.00270647060928084
Phillip Lindsay,RB,IND,1,0,1,0,0.544291720630464,0.47547493585328054,0.5353984507539042,0.10170294986270588,0.08626715522815886,0.06931277650269059,0.08598575537226832,0,0.00270647060928084
Cullen Gillaspia,RB,SEA,4,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Tyron Johnson,WR,HOU,2,0,1,0,0,0,0,0.02146636907289751,0.03047056875903474,0.02522025999342813,0.01912488447352393,0.21,0.007
Dan Chisena,WR,MIN,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
J J Taylor,RB,NE,1,0,11,0,0.3094183054804682,0.17854374745110216,0.2532086116728599,0.04870579278030007,0.06397881398780784,0.05203747979765587,0.04525222109900481,0,0.01518075044467179
Mecole Hardman,WR,KC,8,17,29,1,0.02236714783933461,0.03276571225634427,0.02883783867980965,0.10944129990663064,0.11195275063245204,0.11358546458575795,0.13184657602373348,0,0.01370864925851832
Spencer Brown,RB,CAR,1,0,5,0,0.2822127947726921,0.31674029744232707,0.26415928147633466,0.09969956865518592,0.09719480646089304,0.06678918831125559,0.07241058807510416,0.21,0.007
J P Holtz,TE,NO,5,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Jason Moore,WR,LAC,5,0,1,0,0,0,0,0.00770100065843523,0.00699831297260212,0.00571506045075859,0.00652233826272941,0.21,0.007
Zach Ertz,TE,ARI,10,17,47,0,1.8405772210021415e-4,2.0590959289356784e-4,1.9617358455054315e-4,0.15177828523933715,0.14947362371717737,0.14907298447308104,0.15200360868144655,0,0.00270647060928084
Jake Kumerow,WR,BUF,6,0,4,0,0,0,0,0.02812510990746624,0.0241646139667894,0.02486713947866892,0.0256349318171867,0.21,0.007
Cooper Kupp,WR,LAR,9,17,84,2,0.03004761516328124,0.03588835090755995,0.03330786740107389,0.2672038609527739,0.28290329847144696,0.2925491170061898,0.27694165712023394,0,0.00270647060928084
Duke Johnson,RB,BUF,1,0,2,0,0.28422016649168746,0.29883040373042896,0.29396817102030615,0.02550262688897398,0.02780967546231926,0.030517527074909,0.02493357455418136,0,0.00270647060928084
Jordan Howard,RB,NO,1,0,1,0,0.05352007541400431,0.03351506336687573,0.03820218342748868,0,0,0,0,0.21,0.007
P J Walker,QB,CAR,6,0,6,0,0.02750145460187097,0.03819090838996731,0.02940588886362886,0,0,0,0,0.21,0.007
D Wayne Eskridge,WR,SEA,1,0,0,0,0.06593139189093887,0.06144143374674755,0.06582971050798296,0.29816556518835835,0.2730661349076632,0.26334805503318437,0.27638067769661606,0.21,0.007
Tyrie Cleveland,WR,DEN,6,0,2,0,0,0,0,0.03283555271983716,0.02300657521013327,0.0200748676359111,0.02162165591532098,0.21,0.007
Miller Forristall,TE,CLE,1,0,0,0,0,0,0,0.02728204633042508,0.02109637210565572,0.01864611849973865,0.02212322187990889,0.21,0.007
Kylin Hill,RB,GB,2,0,1,0,0.01812393678793887,0.02546341680029323,0.02024671638839751,0,0,0,0,0.21,0.007
Matthew Stafford,QB,LAR,9,17,13,5,0.05113768224451974,0.03456854710437233,0.0472809932738892,0,0,0,0,0.14927265327424938,0
Mike Davis,RB,BAL,5,17,10,1,0.12478080926383936,0.11377844932381195,0.12135334270831208,0.03262247178538171,0.0372278074166717,0.0282410026134626,0.03215021236677777,0,0.00843068298194495
Melvin Gordon,RB,DEN,10,16,115,5,0.3266205837019983,0.33098405175611473,0.32248796235027305,0.09738087915548924,0.10361308310698188,0.09630668562735586,0.09764589894163513,0,0.00657779883405735
Allen Robinson,WR,LAR,10,12,33,0,0,0,0,0.15858186698214813,0.16688245288630166,0.16399218012111005,0.1692154988473801,0,0.00270647060928084
Mike Thomas,WR,CIN,9,0,2,0,0,0,0,0.02458445563648257,0.0201868665932618,0.01983782565036297,0.02087235948784296,0.21,0.007
Sony Michel,RB,LAC,10,17,45,0,0.17081136711708195,0.1820219726151129,0.17590663482503052,0.03026051102238404,0.02979296740855084,0.02922025880273889,0.03006621399153601,0,0.00400813459210424
Darrell Henderson,RB,LAR,10,12,87,0,0.22061258849436552,0.2457070854228463,0.24865725585870904,0.05808954583777223,0.05888614683133812,0.05750709612185313,0.05781395274468735,0,0.00270647060928084
Darnell Mooney,WR,CHI,11,17,41,0,0.00338594355763456,0.00256997835648043,0.00304982230041125,0.2230360634255235,0.2360676211905269,0.23761650934477904,0.2474177328575221,0,0.00270647060928084
Clyde Edwards Helaire,RB,KC,10,10,88,0,0.293435492281171,0.2824690064448281,0.29612267893886035,0.06680900198298367,0.0632893999584251,0.0620710519764793,0.06374714397263877,0,0.00701413558840865
Rondale Moore,WR,ARI,8,14,47,0,0.02899328048582426,0.01621190234447162,0.02465408397062267,0.18743396419531955,0.18521842855966067,0.19288160877005592,0.1949026747090772,0,0.01090028085788561
Kyle Pitts,TE,ATL,10,17,28,0,0,0,0,0.2334906702549852,0.21480217439206864,0.21751266277262965,0.21730652433619713,0,0.00270647060928084
