player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
John FitzPatrick,TE,ATL,0,0,0,0,0,0,0,0.01932644146490653,0.01881792021525024,0.01677721446361763,0.0177031511008537,0,0.00649552946227403
Cyril Grayson,WR,TB,0,5,0,0,0.00709267272525674,0.02196676058178262,0.00501887619430091,0.0399043077402173,0.04711132572479096,0.08476718357754165,0.07809674341573977,0,0.00270647060928084
Tyler Johnson,WR,HOU,0,17,0,0,0,0,0,0.06470452753553227,0.06121114482164656,0.05287553309842644,0.03067323236014252,0,0.00270647060928084
Jeremy Sprinkle,TE,DAL,0,17,0,0,0,0,0,0.00432443104797711,0.00636273759508402,0.00595542921629544,0.00285234621756518,0,0.00270647060928084
James Washington,WR,DAL,0,15,0,0,0.00582920914686898,0.00951621247005529,0.00340745032503827,0.07004131031642603,0.06026785050063592,0.07883756089537437,0.08723376486628097,0,0.00270647060928084
Brandon Smith,WR,DAL,0,0,0,0,0,0,0,0.075803179066559645,0.07653871122903637,0.074949377070234,0.08225323163778754,0,0.00649552946227403
Austin Walter,RB,LV,0,4,0,0,0.17460364526105954,0.1608101330508829,0.18362573993665376,0.01446090598461041,0.01546405824180888,0.0068323682435444,0.00574965448064009,0,0.00270647060928084
Antony Auclair,TE,HOU,0,16,0,0,0,0,0,0.00836749878958603,0.01255419254375224,0.01160449465744063,0.02634199880156424,0,0.00270647060928084
Royce Freeman,RB,HOU,0,15,0,0,0.12163146544211124,0.0940910474535747,0.06669785100066479,0.02666838844664506,0.02503008321832641,0.01726780676228997,0.01211955364772099,0,0.00270647060928084
Ty Son Williams,RB,IND,0,13,0,0,0.06976004578725324,0.08248877149687349,0.06552898150734605,0.02480030871788387,0.02764330082179876,0.02400705640684745,0.01327628682026769,0,0.00602608652148935
Freddie Swain,WR,SEA,0,17,0,0,0.00858864583931516,0.01008766395728961,0.00426955096865178,0.06746143128136875,0.0626320889285115,0.06999764370952105,0.08487769416937029,0,0.00752526790119642
Bo Melton,WR,SEA,0,0,0,0,0,0,0,0.02136940013695817,0.02077750860063009,0.0179278476329405,0.02003585674937512,0,0.00649552946227403
Dylan Parham,TE,DEN,0,0,0,0,0,0,0,0.0837327901140523,0.08061932757316759,0.0748079512236291,0.08289102597421011,0,0.00649552946227403
Tim Patrick,WR,DEN,0,16,0,0,0,0,0,0.1499888421766256,0.13761111325336026,0.17423216481446918,0.19577911660880848,0,0.00270647060928084
Ryquell Armstead,RB,JAC,0,2,0,0,0.2448903934119041,0.2600630055247246,0.12689944527467611,0.04539341559851778,0.05393448933376312,0.02801385528581468,0.02297238484088334,0,0.00270647060928084
Tommy Hudson,TE,TEN,0,5,0,0,0,0,0,0.03267368009823077,0.02365027086330805,0.0269375236529026,0.01492866564643607,0,0.00270647060928084
Ricky Seals Jones,TE,NYG,0,13,0,0,0,0,0,0.0903795961565535,0.0834311878119905,0.0718763476911715,0.09590477253594722,0,0.00270647060928084
Greg Ward,WR,PHI,0,17,0,0,0,0,0,0.01740310826312972,0.01746111041852856,0.01922152071453791,0.06958532678054064,0,0.00270647060928084
Jason Huntley,RB,PHI,0,1,0,0,0.26670959857964693,0.21859625037432664,0.15130702156698794,0.02689571277029139,0,0,0.0068987571874743,0,0.00270647060928084
Godwin Igwebuike,RB,DET,0,17,0,0,0.02386596441700557,0.03550571602821478,0.03875151784030696,0.01184489285825597,0.01206248790626898,0.01005404079854696,0.00482231587704679,0,0.02020647060928085
Jermar Jefferson,RB,DET,0,7,0,0,0.04830016608203509,0.05407529148122782,0.14716692792374503,0.01438308418502511,0.01673977913523042,0.00935983321959967,0.00584859086384935,0,0.00270647060928084
Blake Bell,TE,KC,0,16,0,0,0.00750877252599098,0.00404181817326688,0.00349073270634911,0.02379546798343463,0.02482634682445145,0.02120739967552806,0.01232470254529236,0,0.00270647060928084
Derrick Gore,RB,KC,0,11,0,0,0.13925359957292377,0.15050261125182876,0.147769619529682,0.02396186985744466,0.03209871104575543,0.03722929096644425,0.01524900130315479,0,0.00270647060928084
Antoine Wesley,WR,ARI,0,15,0,0,0,0,0,0.04102677178648783,0.03323692593111142,0.03270268167596449,0.05446242521683055,0,0.00270647060928084
Erik Ezukanma,WR,MIA,0,0,0,0,0,0,0,0.06093675267006254,0.05592048705008587,0.05601571595709619,0.06235607846536646,0,0.00649552946227403
Adam Shaheen,TE,MIA,0,12,0,0,0,0,0,0.02913627581797242,0.03052675858836649,0.03101705851633889,0.01601250087347069,0,0.00270647060928084
James O Shaughnessy,TE,CHI,0,7,0,0,0,0,0,0.1151274882762568,0.12595342485280148,0.12459737142525856,0.07289143735220437,0,0.00270647060928084
Tajae Sharpe,WR,CHI,0,15,0,0,0,0,0,0.06162982498711465,0.05862885068579232,0.05072030738475165,0.03525893809453137,0,0.00270647060928084
Colin Thompson,TE,CAR,0,11,0,0,0,0,0,0.00258100022912897,0,0,7.048478136086615e-4,0,0.00649552946227403
Charlie Kolar,TE,BAL,0,0,0,0,0,0,0,0.06804524030361071,0.06526080057954196,0.06456780157517995,0.06472971075989395,0,0.00649552946227403
Tyler Badie,RB,BAL,0,0,0,0,0.21547667718101815,0.2002267209874619,0.25521324872157336,0.06059580110544557,0.05811619555247909,0.05749906451366984,0.05764324824658486,0,0.00649552946227403
Calvin Austin,WR,PIT,0,0,0,0,0,0,0,0.06002366126923558,0.0576505016923745,0.05392930494814105,0.05611489841876434,0,0.00649552946227403
Jeremy McNichols,RB,PIT,0,14,0,0,0.08393922823551389,0.07143495107456187,0.04678787239214784,0.07708345161938668,0.08129718907148877,0.06846566997119707,0.06006840916615134,0,0.00270647060928084
Josh Johnson,RB,SEA,0,4,0,0,0.05991393825327934,0.03971187020516829,0.02664873922112215,0,0,0,0,0,0.00649552946227403
JaQuan Hardy,RB,DEN,0,3,0,0,0.04276017210251148,0.06734691252514897,0.17829775516483004,0,0,0,0,0,0.00270647060928084
La Mical Perine,RB,NYJ,0,4,0,0,0.04951099557669337,0.0428842668495094,0.0246512420655127,0,0,0,0,0,0.00270647060928084
Andre Roberts,WR,CAR,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Damien Williams,RB,ATL,1,12,2,0,0.07250442527138368,0.0485385889136397,0.06109536081549433,0.01785599826609533,0.01881741616943849,0.01318447385928325,0.01956938284136317,0,0.00270647060928084
Ty Montgomery,WR,NE,1,0,5,0,0.06794024389031203,0,0.03874431507874142,0.10933122895073508,0.11424778221531792,0.07579476739737252,0.23324953618187483,0.21,0.007
Cethan Carter,TE,MIA,1,16,0,0,0,0,0,0.0011166350077478,0.00143163463448878,0.00133653695040057,0.00118443141801319,0,0.00270647060928084
Josh Gordon,WR,TEN,1,0,0,0,0,0,0,0.03733045618346273,0.01120880961503583,0.00876978777954484,0.01717070601784155,0.21,0.007
Jeff Driskel,QB,HOU,1,0,1,0,0.07077844278758393,0.12456143997077498,0.08890735506732639,0,0,0,0,0.21,0.007
Drew Sample,TE,CIN,2,17,2,0,0,0,0,0.02455107420602164,0.02957286890831871,0.01093310316871421,0.0190513493769153,0,0.00270647060928084
Dezmon Patmon,WR,IND,1,0,2,0,0,0,0,0.17558658933337598,0.133226712714767,0.12872019182467412,0.1291600221256425,0.21,0.007
Dennis Houston,WR,DAL,2,0,2,0,0,0,0,0.06640146484071877,0.05013378392139699,0.04384307919760261,0.04983746060819238,0.21,0.007
Trey Lance,QB,SF,1,0,3,0,0.32976172179824975,0.34550461809603455,0.31564996042419713,0,0,0,0,0.11205624078332709,0
Jesse James,TE,CLE,2,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Trenton Cannon,RB,TEN,2,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Noah Togiai,TE,PHI,2,0,0,0,0,0,0,0.01569987545088526,0.00802786125021897,0.00650891822644922,0.00974233904790037,0.21,0.007
Joe Flacco,QB,NYJ,3,0,3,4,0.04941085569600576,0.03285743914342223,0.04495719502972339,0,0,0,0,0.21,0.007
Sterling Shepard,WR,NYG,3,7,13,0,9.36791978708972e-4,3.3682912728992987e-4,6.838429156567907e-4,0.21568378458375684,0.1945496401052948,0.20161340835376168,0.20285618049887072,0,0.00270647060928084
Michael Thomas,WR,NO,3,0,16,0,0,0,0,0.1774348099839357,0.18817102998951876,0.17761844125373044,0.18489170150342568,0.21,0.007
Jameis Winston,QB,NO,3,7,5,3,0.08382888472943918,0.06804182740470671,0.0738617930862212,0,0,0,0,0.15280932720308016,0
Andy Isabella,WR,ARI,2,0,2,0,0,0,0,0.05285150648665811,0.0407492198230656,0.04276370991872293,0.04346126954501495,0.21,0.007
Jalen Guyton,WR,LAC,2,16,2,0,0.00283645436652406,0.00308847374909945,0.00309359088666767,0.05274760020649781,0.04829073107610569,0.07833255301158772,0.05418935527766777,0,0.00653679666182912
Jake Tonges,TE,CHI,1,0,0,0,0,0,0,0.05168589844423527,0.01600063272166752,0.01242276663286677,0.0242356792839323,0.21,0.007
Antonio Williams,RB,NYG,2,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Brian Hoyer,QB,NE,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Cole Beasley,WR,TB,2,0,4,0,0,0,0,0.05511548830587383,0.05835035209030809,0.04295749477961515,0.0475234596507926,0.21,0.007
Tyrod Taylor,QB,NYG,1,0,3,1,0.05285357717716921,0.07977608804322421,0.05096870843441317,0,0,0,0,0.21,0.007
Darren Waller,TE,LV,4,11,16,0,0,0,0,0.18389910097817175,0.18265204602705304,0.1807465688364952,0.18439511941400089,0,0.00270647060928084
Jamison Crowder,WR,BUF,4,12,6,1,0,0,0,0.10063275824641582,0.08828433340952714,0.08270346671192104,0.08777789711432647,0,0.00846383053330743
Kendall Blanton,TE,LAR,2,0,2,0,0,0,0,0.03525260249971556,0.04091714664205796,0.05128723272053867,0.04167082257462219,0,0.02020647060928085
Quintez Cephus,WR,DET,4,5,2,0,0,0,0,0.03245283176771115,0.03214762358852364,0.02434904653683151,0.02613667752750009,0,0.00270647060928084
Trey Sermon,RB,PHI,1,9,2,0,0.06102180763940262,0.08740552399542365,0.0632816042332042,0.00379406953471601,0.00409834326872277,0.00306226517778227,0.0033796436790528,0,0.00270647060928084
Javonte Williams,RB,DEN,4,17,63,1,0.4310934213024744,0.42775066085917895,0.4075725340040291,0.16073191384311605,0.1623197755303435,0.12119010325316627,0.1454988390620897,0,0.0045233347068467
Ben Ellefson,TE,MIN,4,5,3,0,0,0,0,0.02039317074483103,0.02409154638905252,0.02369154605871711,0.0221136209527332,0,0.00649552946227403
Case Keenum,QB,BUF,1,0,2,0,0.16892473701313163,0.05168194884208903,0.11345447359914382,0,0,0,0,0.21,0.007
Mason Schreck,TE,HOU,1,0,1,0,0,0,0,0.05605607497325376,0.0693427403539598,0.04556887063253082,0.05027150327367512,0.21,0.007
Tanner Gentry,WR,BUF,1,0,0,0,0,0,0,0.02187482772449629,0.00660790797643171,0.00525696395907439,0.00968309614116903,0.21,0.007
Malik Turner,WR,SF,1,0,0,0,0,0,0,0.00808892583145623,0.00803923124479907,0.00838138084591338,0.00800805863438485,0,0.00270647060928084
Rashaad Penny,RB,SEA,5,10,61,1,0.4784674313875343,0.4951896414641412,0.4705288975135624,0.03213600753328858,0.03319101762538495,0.02866384111178974,0.03083407241877928,0,0.00270647060928084
Deonte Harty,WR,NO,4,0,2,1,0,0,0,0.01446906349634556,0.01640197494823057,0.0152884227959035,0.01543618682957854,0.21,0.007
Albert Okwuegbunam,TE,DEN,4,14,7,0,0,0,0,0.08412408429818719,0.08271341068413571,0.07157722702224725,0.08084697473302603,0,0.01151184461073328
Ty Chandler,RB,MIN,2,0,0,0,0.03031628529533545,0.03018066728085308,0.03027507371411597,0.00770362924180983,0.00758893734023823,0.00748934202089852,0.00760445631257122,0,0.00649552946227403
Kyle Philips,WR,TEN,4,0,8,2,0,0,0,0.1166206694246492,0.11171042797037645,0.09994524846233624,0.10534007179993364,0,0.00649552946227403
Matt Sokol,TE,NE,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Jonathan Ward,RB,ARI,5,13,0,0,0.00229147622136191,0.00230699078831948,0.0022935998437742,5.622347044802143e-4,5.698062216181394e-4,5.728996902294758e-4,5.698602616855026e-4,0,0.00270647060928084
Kaylon Geiger,WR,TB,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Simi Fehoko,WR,DAL,5,0,3,0,0,0,0,0.01964245682150834,0.02099565360112177,0.02113480420730944,0.02129775576051676,0.21,0.007
Jake Funk,RB,LAR,5,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Rico Dowdle,RB,DAL,5,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Teddy Bridgewater,QB,MIA,1,0,1,0,0.05385767740729939,0.11109487270900324,0.06762229896348,0,0,0,0,0.21,0.007
Carson Wentz,QB,WAS,6,17,19,6,0.10510322324065376,0.1141326780462424,0.10463029486324942,0,0,0,0,0.2232377948864498,0
Chester Rogers,WR,CLE,1,0,0,1,0.00169154057535659,0.00276685433961908,0.0021720485624369,0.06732622813020825,0.06761991634495616,0.06671172634719405,0.06705607169956374,0,0.02020647060928085
Mitchell Trubisky,QB,PIT,1,0,6,0,0.1982637343513981,0.12589422034590753,0.15579632261548712,0,0,0,0,0.21,0.007
Keith Kirkwood,WR,NO,1,0,1,0,0,0,0,0.063620990547291,0.0861305772837912,0.08750652745129119,0.06801991614373291,0.21,0.007
Juwann Winfree,WR,GB,1,0,0,0,0,0,0,0.0870299418306506,0.05568050046422031,0.05773577753937073,0.06481246094775914,0.21,0.007
Mike Strachan,WR,IND,4,0,3,0,0,0,0,0.052537374291715,0.04096316445621924,0.0462873912620859,0.04603873572309598,0.21,0.007
Donald Parham,TE,LAC,2,14,3,0,0,0,0,0.04155136572253517,0.04149926667872815,0.0688470599378136,0.04682489396175021,0,0.00270647060928084
Jacob Eason,QB,CAR,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
J K Dobbins,RB,BAL,4,0,41,0,0.2983025581244337,0.2258207616834568,0.25805582663970694,0.05305383127211457,0.06003693383442986,0.05675905953221007,0.05845236346679446,0.21,0.007
Ihmir Smith Marsette,WR,CHI,5,8,2,1,0.00452831760745587,3.413763658242403e-4,0.00243647790293818,0.0331153098263679,0.022962745705849,0.0219494833852006,0.02475861074918758,0,0.00270647060928084
Rashard Higgins,WR,CAR,1,15,0,0,0,0,0,0.05107784053055422,0.04214397454597606,0.03970359463507919,0.04490472874877811,0,0.00270647060928084
Lil Jordan Humphrey,WR,NE,6,10,2,0,0,0,0,0.02563591303144652,0.02509944387738378,0.02552005320918463,0.02474743897460043,0,0.00270647060928084
D Vonte Price,RB,IND,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Chad Henne,QB,KC,1,0,3,0,0.10182666003293624,0.00554928700138317,0.05489505556848033,0,0,0,0,0.21,0.007
Brett Rypien,QB,DEN,1,0,3,1,0.08681856606353688,0.074028552815041615,0.06496599537992678,0,0,0,0,0.21,0.007
Mason Kinsey,WR,TEN,1,0,1,0,0,0,0,0.04106540938909633,0.05580324734811556,0.02730356548878835,0.03324561886307397,0.21,0.007
Danny Gray,WR,SF,3,0,0,0,0,0,0,0.06189023760064499,0.03658553050205811,0.03131466468578701,0.04092660896195277,0,0.00649552946227403
Bailey Zappe,QB,NE,1,0,2,1,0.13425464533873652,0.03252255066802587,0.08740743873815898,0.00870446367129685,0.01003320278046503,0.00274993928694277,0.00631151895896945,0.21,0.007
Tyrion Davis Price,RB,SF,3,0,16,0,0.09665781629130518,0.06498466858313548,0.08111745798733506,0.01993805910780384,0.01194880816894721,0.01094056930512818,0.01326863293450142,0,0.00649552946227403
Breece Hall,RB,NYJ,7,0,99,1,0.4201476449572347,0.4855237570063941,0.4691647841620744,0.1071935104211312,0.11420155761839954,0.11873468458369751,0.11793540610776432,0,0.00649552946227403
Tevin Coleman,RB,SF,3,0,15,0,0.2046556619302487,0.1627344945357059,0.18868554030472945,0.04185350955902663,0.04908893775697426,0.04935125542769209,0.04737792136125778,0,0.00270647060928084
Ethan Fernea,WR,IND,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Kyle Rudolph,TE,TB,4,16,2,0,0,0,0,0.01799183065048435,0.01554573732154138,0.01665687072302608,0.01616738958780288,0,0.00270647060928084
J D McKissic,RB,WAS,8,11,49,0,0.0796447224506864,0.08152788809341609,0.07630573789890045,0.15866973865234216,0.14815456493226237,0.13336251050947429,0.142342943010357,0,0.00270647060928084
Darrel Williams,RB,ARI,6,17,25,0,0.14671511083933056,0.14197558049996853,0.1428722219134601,0.03142686855780532,0.02901444935042345,0.02255937821950411,0.02618906801850545,0,0.00270647060928084
David Sills,WR,NYG,1,0,1,0,0,0,0,0.3807560954139952,0.3830698312951964,0.3736654971602083,0.3886366675769251,0.21,0.007
Jarrett Stidham,QB,LV,1,0,0,0,0,0,0,0,0,0,0,0.21,0.007
Maurice Alexander,WR,DET,2,0,1,0,0,0,0,0.01143741582993302,0.01430089093139004,0.01019046364867358,0.00928870838009222,0.21,0.007
